               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,             0.03136,             0.18594,           0.0052688,             0.94119,             0.91609,             0.96341,             0.71114,            0.023582,            0.090933,           0.0024636,           0.0097178,           0.0097178,           0.0097178
                  36,            0.028799,             0.17595,            0.005204,             0.96029,             0.93232,             0.97492,             0.77514,            0.021301,            0.086686,           0.0024452,           0.0097011,           0.0097011,           0.0097011
                  37,            0.028055,             0.17503,           0.0051534,             0.96206,             0.93404,             0.97611,              0.8025,            0.019743,            0.082954,           0.0024074,            0.009684,            0.009684,            0.009684
                  38,            0.026828,             0.16708,           0.0048407,             0.96295,             0.93286,             0.97451,             0.79174,            0.020393,            0.081408,           0.0023317,           0.0096664,           0.0096664,           0.0096664
                  39,            0.026709,              0.1648,           0.0048901,              0.9663,             0.93635,             0.97677,             0.79874,            0.019584,            0.081026,           0.0023423,           0.0096484,           0.0096484,           0.0096484
                  40,            0.026303,             0.16471,           0.0047919,             0.95575,             0.93381,             0.97179,             0.81945,            0.019439,            0.077941,           0.0022478,           0.0096299,           0.0096299,           0.0096299
                  41,             0.02616,             0.16448,           0.0048773,             0.96923,             0.93944,             0.97884,             0.82588,            0.018531,            0.077378,           0.0022315,            0.009611,            0.009611,            0.009611
                  42,            0.025727,             0.16002,            0.004731,             0.96402,              0.9367,             0.97525,             0.81187,             0.01912,            0.077602,           0.0022602,           0.0095916,           0.0095916,           0.0095916
                  43,            0.025858,             0.16299,           0.0048084,             0.96644,             0.93758,             0.97613,             0.81354,            0.018932,            0.078565,           0.0022393,           0.0095717,           0.0095717,           0.0095717
                  44,            0.025225,             0.16067,            0.004745,             0.96784,             0.93257,             0.97633,             0.81566,            0.018967,            0.077146,           0.0022313,           0.0095514,           0.0095514,           0.0095514
                  45,             0.02545,             0.16048,           0.0047072,             0.96772,             0.93452,             0.97634,             0.81842,            0.018792,            0.077142,           0.0022273,           0.0095307,           0.0095307,           0.0095307
                  46,            0.025695,             0.16098,            0.004828,             0.97123,             0.94259,             0.98059,             0.81391,            0.018674,            0.078298,           0.0022489,           0.0095095,           0.0095095,           0.0095095
                  47,            0.025664,             0.16059,           0.0047391,             0.97439,             0.93542,             0.97961,             0.82919,            0.018103,            0.074558,           0.0022027,           0.0094879,           0.0094879,           0.0094879
                  48,             0.02647,             0.16738,           0.0049053,             0.96809,             0.93775,             0.97763,             0.82804,            0.018274,            0.076006,           0.0022194,           0.0094659,           0.0094659,           0.0094659
                  49,            0.025429,             0.15784,           0.0045577,             0.96549,             0.93777,             0.97674,             0.82931,            0.018251,            0.074423,            0.002147,           0.0094434,           0.0094434,           0.0094434
                  50,            0.025084,             0.15983,           0.0046518,             0.97554,              0.9409,              0.9807,             0.82728,            0.018175,            0.074717,           0.0021636,           0.0094205,           0.0094205,           0.0094205
                  51,            0.024516,               0.158,           0.0045566,             0.97574,             0.94038,             0.98106,             0.84111,            0.017473,            0.073538,           0.0021571,           0.0093971,           0.0093971,           0.0093971
                  52,            0.024729,             0.15712,           0.0045835,             0.97315,             0.94443,             0.98131,             0.84334,            0.017339,            0.072621,           0.0021139,           0.0093733,           0.0093733,           0.0093733
                  53,            0.024708,             0.15695,           0.0045833,               0.969,               0.939,             0.97867,             0.80326,            0.019884,             0.07728,           0.0021887,           0.0093491,           0.0093491,           0.0093491
                  54,            0.024585,             0.15839,           0.0045762,             0.97462,             0.93952,             0.98011,             0.81592,            0.018844,            0.074636,            0.002127,           0.0093245,           0.0093245,           0.0093245
                  55,            0.032681,             0.18748,           0.0052476,             0.88606,             0.88291,             0.94124,             0.59315,            0.028555,             0.10298,           0.0027014,           0.0092995,           0.0092995,           0.0092995
                  56,            0.030751,             0.18225,           0.0050899,              0.9221,             0.90166,             0.95584,             0.70737,            0.023361,            0.090715,           0.0024276,            0.009274,            0.009274,            0.009274
                  57,            0.026995,             0.16861,           0.0048353,             0.96128,              0.9312,              0.9751,             0.81562,             0.01918,            0.078849,           0.0022437,           0.0092481,           0.0092481,           0.0092481
                  58,            0.024919,             0.15804,           0.0045761,             0.97023,             0.93935,             0.97809,             0.83902,            0.017628,             0.07341,           0.0021455,           0.0092219,           0.0092219,           0.0092219
                  59,            0.024198,             0.15474,           0.0045521,             0.97723,             0.94059,             0.98214,             0.83751,            0.017554,            0.074829,           0.0022007,           0.0091952,           0.0091952,           0.0091952
                  60,            0.024439,              0.1554,           0.0045042,             0.97205,             0.93578,             0.97903,             0.83412,            0.017992,            0.073244,           0.0021134,           0.0091681,           0.0091681,           0.0091681
