               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,            0.018528,            0.083424,           0.0013677,             0.93195,             0.85987,              0.9225,             0.75793,           0.0087311,            0.032543,          0.00061531,           0.0097178,           0.0097178,           0.0097178
                  36,            0.018579,            0.082863,            0.001347,             0.92743,             0.86281,             0.92013,             0.74851,           0.0082307,            0.030697,          0.00055831,           0.0097011,           0.0097011,           0.0097011
                  37,            0.018469,            0.083699,           0.0014758,             0.91104,             0.85648,             0.90964,             0.75391,           0.0083315,            0.031232,          0.00052618,            0.009684,            0.009684,            0.009684
                  38,            0.018295,            0.082625,           0.0013515,             0.92554,             0.86857,             0.92432,             0.76661,           0.0081513,            0.031178,          0.00050008,           0.0096664,           0.0096664,           0.0096664
                  39,            0.018154,            0.082406,           0.0013893,              0.9262,             0.86073,             0.92154,             0.76444,           0.0083694,            0.031165,           0.0005093,           0.0096484,           0.0096484,           0.0096484
                  40,            0.018157,             0.08212,           0.0013035,             0.93288,             0.83565,              0.9096,             0.73449,           0.0083826,            0.031577,          0.00046839,           0.0096299,           0.0096299,           0.0096299
                  41,            0.019035,            0.085511,           0.0014333,             0.91077,             0.87157,             0.91544,             0.71424,           0.0093175,            0.039039,          0.00054083,            0.009611,            0.009611,            0.009611
                  42,              0.0226,            0.095876,           0.0015214,             0.92454,             0.85988,             0.92282,             0.76761,           0.0084155,            0.031707,          0.00051529,           0.0095916,           0.0095916,           0.0095916
                  43,            0.018227,            0.082586,           0.0012835,             0.92451,             0.84577,             0.92045,             0.77819,           0.0078051,            0.029997,           0.0004998,           0.0095717,           0.0095717,           0.0095717
                  44,            0.020504,            0.091238,            0.001485,             0.93441,             0.86415,             0.92723,             0.78256,           0.0077969,            0.030367,          0.00048144,           0.0095514,           0.0095514,           0.0095514
                  45,            0.018033,            0.081833,           0.0012888,             0.93329,             0.86817,             0.92636,             0.77447,           0.0079255,            0.030472,          0.00049875,           0.0095307,           0.0095307,           0.0095307
                  46,            0.017716,            0.080279,           0.0011939,             0.94716,             0.86246,             0.92966,             0.78321,           0.0078571,            0.029659,          0.00048482,           0.0095095,           0.0095095,           0.0095095
                  47,            0.017705,            0.081186,           0.0013327,             0.93068,              0.8716,             0.93229,             0.79248,           0.0076974,            0.029205,          0.00044011,           0.0094879,           0.0094879,           0.0094879
                  48,            0.017789,             0.08072,           0.0012297,             0.93733,             0.87226,             0.93335,             0.79293,           0.0075985,            0.028951,          0.00050322,           0.0094659,           0.0094659,           0.0094659
                  49,            0.017443,            0.079117,           0.0013006,             0.92616,             0.86648,             0.92549,             0.78174,            0.007677,            0.029349,          0.00062036,           0.0094434,           0.0094434,           0.0094434
                  50,            0.017593,            0.079919,           0.0011987,              0.9369,             0.87395,              0.9335,             0.79525,           0.0076263,            0.028974,          0.00045559,           0.0094205,           0.0094205,           0.0094205
                  51,            0.017541,            0.079315,           0.0011821,             0.92334,             0.88492,             0.93093,             0.79308,           0.0076489,            0.029335,          0.00052464,           0.0093971,           0.0093971,           0.0093971
                  52,            0.017505,            0.079509,           0.0013687,             0.92373,             0.88442,              0.9248,             0.77447,           0.0076449,            0.029048,          0.00044273,           0.0093733,           0.0093733,           0.0093733
                  53,             0.01742,            0.079455,           0.0012746,             0.93157,             0.88723,             0.93387,             0.79087,            0.007438,            0.028646,          0.00044315,           0.0093491,           0.0093491,           0.0093491
                  54,            0.017284,            0.080119,           0.0011726,             0.93222,             0.88466,             0.92874,             0.78522,           0.0074994,            0.028735,          0.00045508,           0.0093245,           0.0093245,           0.0093245
                  55,            0.017058,              0.0781,           0.0011463,             0.94135,             0.88881,             0.93899,             0.80465,            0.007408,            0.028399,           0.0004703,           0.0092995,           0.0092995,           0.0092995
                  56,            0.017323,            0.079774,            0.001179,              0.9327,              0.8859,             0.93522,             0.79784,           0.0072766,            0.028085,          0.00042173,            0.009274,            0.009274,            0.009274
                  57,            0.017175,            0.078447,           0.0012084,              0.9412,             0.87876,             0.93529,             0.79646,           0.0073013,            0.028292,          0.00043643,           0.0092481,           0.0092481,           0.0092481
                  58,            0.017249,            0.078341,           0.0011493,              0.9439,             0.88352,             0.93964,             0.80577,           0.0072006,            0.027852,          0.00042757,           0.0092219,           0.0092219,           0.0092219
                  59,            0.016766,            0.077995,           0.0011517,             0.93369,             0.89738,             0.93848,             0.80927,           0.0071506,            0.027582,          0.00048844,           0.0091952,           0.0091952,           0.0091952
                  60,            0.016903,            0.077667,            0.001126,             0.93258,             0.88769,             0.93448,             0.80127,           0.0070345,             0.02759,          0.00047958,           0.0091681,           0.0091681,           0.0091681
                  61,            0.016756,            0.076837,           0.0011791,             0.94803,             0.88396,             0.93982,              0.8027,           0.0071479,             0.02781,          0.00044052,           0.0091406,           0.0091406,           0.0091406
                  62,            0.016743,            0.076145,           0.0010795,             0.95179,             0.88135,             0.94298,              0.8126,           0.0070684,            0.027675,          0.00046142,           0.0091127,           0.0091127,           0.0091127
                  63,            0.016669,            0.077596,           0.0011162,             0.92922,             0.89286,             0.94059,             0.81078,           0.0070712,            0.027942,          0.00046286,           0.0090844,           0.0090844,           0.0090844
                  64,            0.016693,            0.078073,           0.0011556,             0.94176,             0.87769,             0.93883,             0.80889,           0.0069743,            0.027346,          0.00047593,           0.0090557,           0.0090557,           0.0090557
                  65,            0.016712,            0.076839,           0.0011279,              0.9511,             0.88232,             0.94005,             0.81582,           0.0071073,            0.027658,          0.00048972,           0.0090266,           0.0090266,           0.0090266
                  66,            0.016738,            0.077393,           0.0011116,             0.95572,             0.87574,             0.93893,             0.81823,           0.0071132,            0.027683,          0.00045142,           0.0089972,           0.0089972,           0.0089972
                  67,            0.016531,            0.077178,           0.0011085,             0.94433,             0.88398,             0.93858,             0.82088,           0.0069877,            0.027614,          0.00051958,           0.0089673,           0.0089673,           0.0089673
                  68,            0.016667,            0.076943,           0.0012178,              0.9441,             0.89398,             0.94171,             0.81943,           0.0068115,            0.027053,            0.000454,           0.0089371,           0.0089371,           0.0089371
                  69,            0.016427,            0.075754,           0.0010932,             0.94538,              0.8878,             0.93865,             0.81162,           0.0069553,             0.02723,           0.0004621,           0.0089065,           0.0089065,           0.0089065
                  70,            0.016621,            0.077036,           0.0010464,              0.9418,             0.88453,             0.93783,             0.80697,           0.0069084,            0.027378,          0.00045349,           0.0088755,           0.0088755,           0.0088755
